Record_Number	Date	Agent_Name	Customer_Name	Family_Size	Province	Sales_Amount
11945	2024-12-25	Kenneth	Troy Higgins	5	Newfoundland and Labrador	3879
11946	2024-12-25	Joy	Keith Williams	6	British Columbia	1389
11947	2024-12-26	Kenneth	Andrea Meyer	6	British Columbia	4397
11948	2024-12-26	Gloria	John Rogers	6	Saskatchewan	4217
11949	2024-12-26	Anith	Pamela Travis	5	Newfoundland and Labrador	3626
11950	2024-12-26	Anith	Bobby Anderson	2	Prince Edward Island	2371
11951	2024-12-26	Olufemi	Cindy Rodriguez	4	Alberta	4205
11952	2024-12-26	Anith	James Rhodes	7	Alberta	1012
11953	2024-12-26	Olufemi	Linda Rodriguez	5	New Brunswick	3943
11954	2024-12-26	David	Michelle Flores	2	British Columbia	4341
11955	2024-12-27	Anith	David Rice	4	Quebec	4342
11956	2024-12-27	Gloria	Amanda Williams	7	Nova Scotia	3473
11957	2024-12-27	Gloria	Charles Wright	2	Saskatchewan	3635
11958	2024-12-27	Patricia	Donna Collier	2	Newfoundland and Labrador	3478
11959	2024-12-27	Anith	Robert Brown	7	Quebec	2037
11960	2024-12-28	Kenneth	Vickie Williams	3	New Brunswick	1096
11961	2024-12-28	Patricia	Virginia Robles	5	Manitoba	1126
11962	2024-12-28	Gloria	Adrienne Fisher	3	New Brunswick	1275
11963	2024-12-29	Gloria	Emily Lam	4	Manitoba	4285
11964	2024-12-29	David	Tammy Price	5	Saskatchewan	2642
11965	2024-12-29	Olufemi	Lisa Ferguson	5	New Brunswick	1452
11966	2024-12-29	Olufemi	Brandy Murphy	7	British Columbia	1188
11967	2024-12-29	Olufemi	Sarah Wood	4	New Brunswick	1514
11968	2024-12-29	Anith	Donna Cole	6	Ontario	4741
11969	2024-12-30	Joy	Tommy Houston	4	British Columbia	1817
11970	2024-12-30	David	Juan Roberson	5	New Brunswick	2051
11971	2024-12-30	David	Crystal Wood	2	Quebec	1826
11972	2024-12-30	Anith	Jared Roberts MD	5	British Columbia	1823
11973	2024-12-30	Olufemi	Brittney Walker MD	3	Nova Scotia	3686
11974	2024-12-31	David	James Cook	2	Prince Edward Island	2417
11975	2024-12-31	Gloria	Joe Gomez	6	Quebec	2641
11976	2024-12-31	David	Victoria Ashley	6	Prince Edward Island	1252
11977	2024-12-31	Kenneth	Daniel Lucero	5	Ontario	3829
11978	2024-12-31	Patricia	Timothy Robinson	7	Quebec	3252
11979	2024-12-31	Patricia	Susan Hill	5	Quebec	2376
11980	2024-12-31	David	Jonathan Williams	5	Newfoundland and Labrador	4360
11981	2024-12-31	Patricia	Samantha Martin	5	Prince Edward Island	3132
